Participant,Gender,Race/Ethnicity,maternal or primary caregiver education,other parent education,# younger siblings,# siblings 12 and under,Birth Order
5859ME,F,caucasian,Master's,,0,0,1
5878SC,M,caucasian,Master's,,0,1,2
5903AE,F,caucasian,Doctoral,,0,0,1
5923MW,M,caucasian,Master's,,0,0,1
5928RL,F,caucasian,Doctoral,,0,0,1
5929LD,M,caucasian,Doctoral,,0,0,1
5936SR,F,caucasian,Master's,,0,1,2
5949DL,M,caucasian,Master's,,0,0,1
5954ML,F,caucasian,College,,0,0,1
5965PC,M,caucasian,College,,0,0,1
5977QJ,F,African American,Master's,,0,1,2
6043AM,F,African American/Caucasian,College,,0,1,2
6047JC,M,caucasian,Master's,,0,0,1
6071WB,M,caucasian,Master's,,0,0,1
6206MP,F,African American,College,,0,1,2
6314AK,F,caucasian,Master's,,0,1,2
6337NK,M,caucasian,Master's,,0,0,1
6453HS,F,caucasian,College,,0,0,1
6454MB,F,caucasian,College,,0,2,3
6493TM,M,caucasian,Doctoral,,1,1,1
6510A(L)C,F,Hispanic,College,,0,1,2
6598JM,M,caucasian,College,,1,3,3
6626SW,F,caucasian,Doctoral,,0,0,1
6630TM,M,caucasian,Doctoral,,0,0,1
6691MW,F,African American,Doctoral,,0,0,1
6757JC,M,caucasian,College,,0,0,1
6785KS,M,African American,High School,,0,0,1
6815KG,F,African American,College,,0,3,4
6818AP,F,caucasian,Master's,,0,0,1
6825MT,F,African American,College,,0,1,4
6826LD,M,caucasian,High School,,0,1,2
6878SK,F,caucasian,Doctoral,,0,2,3
7013VD,M,caucasian,Master's,,0,0,1
7018NB,M,caucasian,Master's,,0,1,2
7061AS,F,caucasian,College,,0,0,1
7075MB,F,caucasian,College,,0,0,1
7099EH,F,caucasian,Doctoral,,0,1,2
7119CM,F,caucasian,High School,,0,1,2
7120CB,F,African American,Master's,,0,0,1
7162MB,F,caucasian,College,,0,1,2
7183TB,M,caucasian,Master's,,0,1,2
7222MD,F,caucasian,Master's,,1,1,1
7236FB,M,caucasian,College,,0,2,3
7251TR,M,African American/Caucasian,Doctoral,,0,0,1
7252PD,F,caucasian,College,,0,0,1
7300AP,M,caucasian,College,,1,1,1
7419EB,F,caucasian,College,,1,2,2
7444IJ,M,caucasian,Master's,,1,1,1
7534EM,M,caucasian,College,,1,1,1
7553JT,F,caucasian,College,,0,1,2
7643EB,F,caucasian/haitian,College,,0,0,1
7658LT,F,caucasian,College,"dad's education noted as master's; preschool info was mentioned as day care and preschool, listed as preschool due to name and teacher reference",0,0,1
7660HK,F,caucasian,Master's,,0,0,1
7814NB,F,African American/American noted,Master's,,0,0,1
,,,,,,,
,67,,,,,,
,58,,,,,,
,125,,,,,,
